86		딴지 자게 관리자님 수고 많으십니다		http://www.ddanzi.com/index.php?mid=free&document_srl=4261354		나박사다		2015-05-11				1730
87		스르륵에서 망명왔어요.		http://www.ddanzi.com/index.php?mid=free&document_srl=4261380		두리짱™		2015-05-11				1743
88		느림 ㅠㅠ 너무 느림 ㅠㅠㅠ		http://www.ddanzi.com/index.php?mid=free&document_srl=4261395		▶◀MioTakaba잇힝		2015-05-11				1734
89		그냥 재부팅만 한거에요?ㅠㅠ		http://www.ddanzi.com/index.php?mid=free&document_srl=4261404		폐월		2015-05-11				1748
90		내가 딴지에 아이디를 팔 줄일야...ㄷㄷㄷㄷ		http://www.ddanzi.com/index.php?mid=free&document_srl=4261419		푸르릉ZAG		2015-05-11				1773
91		우왕.... 조타!		http://www.ddanzi.com/index.php?mid=free&document_srl=4261449		JUNEspLAY~♥		2015-05-11				1749
92		망명왔어유 ㄷㄷㄷ		http://www.ddanzi.com/index.php?mid=free&document_srl=4261500		랑랑파파		2015-05-11				1741
93		건의사항 ㄷㄷㄷㄷㄷ		http://www.ddanzi.com/index.php?mid=free&document_srl=4261526		▶◀고소한레고밥		2015-05-11				1769
94		어이 운영자 양반ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ		http://www.ddanzi.com/index.php?mid=free&document_srl=4261425		1지명		2015-05-11				1965
95		운영자님...  공지로 하나 써서 자게이들이 원하는 기능 댓글로 받아주세요..		http://www.ddanzi.com/index.php?mid=free&document_srl=4261617		웅컁		2015-05-11				1708
96		딴지 자게		http://www.ddanzi.com/index.php?mid=free&document_srl=4261631		읊조림		2015-05-11				1727
97		이민 신고		http://www.ddanzi.com/index.php?mid=free&document_srl=4261668		푸른무지개		2015-05-11				1720
98		하 이민왔는데 로그인도 느림 ㅠㅠㅠㅠㅠㅠ		http://www.ddanzi.com/index.php?mid=free&document_srl=4261677		식이식이		2015-05-11				1728
99		ㄲㅐ봉님은 여기 안오실려나??		http://www.ddanzi.com/index.php?mid=free&document_srl=4261653		◁토리--◁		2015-05-11				1817
